policy,class_idx,class_name,priority_weight,support,tp,fp,fn,precision,recall,f1
fixed_threshold,0,air_conditioner,0.8,100,64,4,36,0.9411764705882353,0.64,0.7619047619047621
fixed_threshold,1,car_horn,1.1,33,28,11,5,0.717948717948718,0.8484848484848485,0.7777777777777778
fixed_threshold,2,children_playing,0.7,100,66,13,34,0.8354430379746836,0.66,0.7374301675977653
fixed_threshold,3,dog_bark,1.0,100,89,27,11,0.7672413793103449,0.89,0.8240740740740741
fixed_threshold,4,drilling,0.9,100,92,8,8,0.92,0.92,0.92
fixed_threshold,5,engine_idling,0.7,93,89,55,4,0.6180555555555556,0.956989247311828,0.7510548523206751
fixed_threshold,6,gun_shot,1.8,32,30,12,2,0.7142857142857143,0.9375,0.8108108108108109
fixed_threshold,7,jackhammer,1.0,96,60,3,36,0.9523809523809523,0.625,0.7547169811320755
fixed_threshold,8,siren,1.7,83,75,13,8,0.8522727272727273,0.9036144578313253,0.8771929824561404
fixed_threshold,9,street_music,0.6,100,88,10,12,0.8979591836734694,0.88,0.888888888888889
