epoch,train_loss,train_accuracy,val_accuracy
1,1.6080178474226305,0.3967067764407853,0.31780167264038234
2,1.1755212266598978,0.563521215959468,0.3859020310633214
3,0.982309881717928,0.6462317922735908,0.5101553166069295
4,0.8562781640118168,0.6899303356554781,0.6105137395459976
5,0.7452748958622256,0.7310956301456618,0.5842293906810035
6,0.6920664447449869,0.7512349588347055,0.6606929510155317
7,0.6510867005394351,0.7708676377454085,0.5495818399044206
8,0.5661507597373377,0.7988600379987334,0.5543608124253285
9,0.5323956531863059,0.8089930335655479,0.6152927120669056
10,0.4908635698018535,0.8230525649145028,0.5985663082437276
11,0.4139991761936295,0.8526915769474351,0.6093189964157706
12,0.3747340331394826,0.8668777707409753,0.5842293906810035
13,0.36806437589468494,0.8718176060797973,0.5268817204301075
